n_pares_minmax,n_pares_tau_minmax,persistencia_total_minmax,vida_maxima_minmax,entropia_minmax,n_pares_zscore,n_pares_tau_zscore,persistencia_total_zscore,vida_maxima_zscore,entropia_zscore,n_pares_robust,n_pares_tau_robust,persistencia_total_robust,vida_maxima_robust,entropia_robust,sample
4,3,2.3388906444799056,1.3237630164896537,0.9788086713467763,5,4,12.39592531233004,5.137497828587396,1.1494030063773177,5,4,8.983008576851143,3.761123577660987,1.1287306238051964,247
6,4,4.147854042453332,2.1385332789939575,1.2126982529315686,5,4,14.696356648424048,5.640474113340414,1.2489275110509384,5,4,13.84338853759867,4.815185868239157,1.3020209329375545,1209
5,4,4.28797728603308,2.0776858724325917,1.2419579714953346,4,3,11.630036233650987,4.7030536654257205,1.0831111036802565,5,4,11.052734602090108,4.089263170033026,1.214920825834917,1487
4,3,3.2633485806094438,1.5728096719433002,1.041059467678968,4,3,11.810557632698199,5.1529742312542455,1.0740367185411293,5,4,9.485191331543817,4.355446423280637,1.1756113887723378,937
6,5,4.183923435178178,1.7540240847680189,1.3731392149276027,5,4,12.39287937481268,6.371177718131141,1.1069871567920635,4,3,9.894848358648659,4.835051753203378,0.9964049439426306,914
4,3,3.615738740376428,1.4923293358768737,1.0443707421624409,5,4,16.0963345286533,6.849973132847161,1.1229802809047844,4,3,12.78646308175978,5.316822759669426,1.0837599695763296,394
4,3,2.5566621062543966,1.3331461370981608,1.0175585311651258,5,4,11.69209220907839,4.1120752915649845,1.284646449955091,5,4,8.149896316961165,3.3214731285003567,1.2941904401319178,23
4,3,3.3718985266200487,1.7350755204131085,0.9937494159784794,5,4,11.963967508142533,5.338504284509604,1.149644729411926,5,4,10.765661053967495,4.719996686757423,1.153989800666853,589
4,3,2.478237062331746,1.3049011710904372,0.9727105428191669,5,4,10.873457954357162,4.959344561605391,1.1489537885901973,4,3,10.59788790830821,4.35101881482246,1.0657350247265878,32
4,3,3.25789726157977,1.5996220996627226,0.8439252080788475,5,4,19.902863683822915,7.905534749306243,1.2615645625943641,5,4,19.274277414382865,10.501471953680925,0.9855910910228112,483
