tipo_ruido,magnitud,dB,dW,norma_inf,n_pares,n_pares_tau,persistencia_total,vida_maxima,entropia,sample
gaussiano,0.01,0.06339126958078367,0.09386892490138943,0.0638260271204174,4,3,7.42761163438378,3.49668436675119,0.9370991753112958,682
gaussiano,0.05,0.13199348117405285,0.2683465006495831,0.2690732976419741,4,3,7.354214541992031,3.583255143659696,0.9087996610926901,682
gaussiano,0.1,0.4517213024070339,0.8772447030165498,0.4699936466656305,4,3,6.664813698292966,3.0985543347259554,0.9765767468829998,682
gaussiano,0.2,0.9070326265802939,2.0023612479896187,1.5811054344402158,4,3,7.522850565825184,4.1688478230499575,0.9356956388180637,682
gaussiano,0.5,1.4407242784047551,3.1351538236080208,3.1628812618695625,5,4,8.438080727674873,5.528121920921829,0.896824432954568,682
acotado,0.01,0.023836380341089036,0.041166570780136524,0.032785844337385406,4,3,7.30122837738069,3.455446739706301,0.9315638278571027,682
acotado,0.05,0.12131076298090482,0.27528106423079934,0.1486341445060787,4,3,7.5071435258164065,3.4411718206295747,0.939137313003084,682
acotado,0.1,0.20135649119207777,0.36512977695836296,0.26067186973951967,4,3,7.828759974469321,3.756783356784193,0.9275440135871302,682
acotado,0.2,0.21818970291697903,0.48702669260061765,0.6518118317008051,5,4,7.802526569770934,3.5165660006017987,1.008463511642553,682
acotado,0.5,0.7272259301762809,1.2557597328813037,1.3548460078619875,4,3,6.779055050109511,3.473984263969414,0.8828366333271811,682
gaussiano,0.01,0.05819215150190926,0.12720563159549325,0.06168614390533983,4,2,5.677244575057491,3.2041473758577292,0.733631222034233,1326
gaussiano,0.05,0.13608832515756375,0.3547024648907087,0.18069770380906025,4,3,6.346916028587542,3.442526821535827,0.831883840042059,1326
gaussiano,0.1,0.28644692791403614,0.6234547692174637,0.34573414328824253,4,3,6.355429116382554,3.7837623726723586,0.7968601612923665,1326
gaussiano,0.2,1.1640537338106234,1.7549488248345078,1.2361569886623558,6,3,4.698176973510132,3.563282110288164,0.6990947784004097,1326
gaussiano,0.5,1.2309353130790872,1.8747925175506432,2.529723544691291,3,2,6.953525851471104,3.6878144054097426,0.6913035933544005,1326
acotado,0.01,0.01204356439501475,0.03238264829222132,0.024999860067391078,4,2,5.7477355954908305,3.286032213263097,0.7103509735820479,1326
acotado,0.05,0.09203714947475111,0.19593152871159156,0.1090865847688619,5,2,5.722204687253063,3.283008496170998,0.7264158812635766,1326
acotado,0.1,0.13191103555183847,0.2877407617962249,0.3042341746601047,5,2,6.086483495057647,3.492613823963654,0.7441107518823997,1326
acotado,0.2,0.41759359073298163,0.8399887188294183,0.6002334276831011,4,3,6.785205173762728,3.0986434617618506,0.9801062712978036,1326
acotado,0.5,0.5664780927283872,1.2071771557963913,1.8035172068466578,4,3,5.929129779611865,3.1412361247307317,0.9580272821205624,1326
gaussiano,0.01,0.027004937183197963,0.05477772901202049,0.029052630813851454,5,3,9.805594228124521,5.183348779842751,0.9601004898439789,976
gaussiano,0.05,0.21234983281840836,0.4022685959169182,0.23763425271818395,4,3,9.548682926784082,5.206260852311964,0.956022307545036,976
gaussiano,0.1,0.1403053560621048,0.38955242994783257,0.399703515241808,5,3,9.391465543985245,4.929056568848607,0.9943400470247563,976
gaussiano,0.2,0.9933958599507511,2.1634196997001545,1.129475141447381,5,3,9.568826568444695,5.096234335875401,1.0426337723231554,976
gaussiano,0.5,0.9680531425504295,2.808072245631759,2.4263035660020753,5,4,13.102411087781126,5.489158045056744,1.2607316181259087,976
acotado,0.01,0.017481625822162616,0.04081158392266859,0.034281283107202576,5,3,9.741164077202129,5.16631739329701,0.9578611651029907,976
